model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.7988826815642458,0.7796610169491526,0.6666666666666666,0.71875,0.8193675889328063
Decision Tree,0.8100558659217877,0.7966101694915254,0.6811594202898551,0.734375,0.8393939393939395
Random Forest,0.7821229050279329,0.75,0.6521739130434783,0.6976744186046512,0.8237812911725956
